company_name,count,selected_datetime,polygon
bird,303,2019-07-27 15:00:02,"POLYGON ((-86.78484757667393 36.15585914829095, -86.76692242332609 36.15585914829095, -86.76692242332609 36.17033085170907, -86.78484757667393 36.17033085170907, -86.78484757667393 36.15585914829095))"
lime,69,2019-07-27 15:00:02,"POLYGON ((-86.78484757667393 36.15585914829095, -86.76692242332609 36.15585914829095, -86.76692242332609 36.17033085170907, -86.78484757667393 36.17033085170907, -86.78484757667393 36.15585914829095))"
lyft,90,2019-07-27 15:00:02,"POLYGON ((-86.78484757667393 36.15585914829095, -86.76692242332609 36.15585914829095, -86.76692242332609 36.17033085170907, -86.78484757667393 36.17033085170907, -86.78484757667393 36.15585914829095))"
spin,114,2019-07-27 15:00:02,"POLYGON ((-86.78484757667393 36.15585914829095, -86.76692242332609 36.15585914829095, -86.76692242332609 36.17033085170907, -86.78484757667393 36.17033085170907, -86.78484757667393 36.15585914829095))"
uber,83,2019-07-27 15:00:02,"POLYGON ((-86.78484757667393 36.15585914829095, -86.76692242332609 36.15585914829095, -86.76692242332609 36.17033085170907, -86.78484757667393 36.17033085170907, -86.78484757667393 36.15585914829095))"
bird,329,2019-07-27 15:00:02,"POLYGON ((-86.78989085054961 36.14950714829094, -86.7719671494504 36.14950714829094, -86.7719671494504 36.16397885170907, -86.78989085054961 36.16397885170907, -86.78989085054961 36.14950714829094))"
lime,72,2019-07-27 15:00:02,"POLYGON ((-86.78989085054961 36.14950714829094, -86.7719671494504 36.14950714829094, -86.7719671494504 36.16397885170907, -86.78989085054961 36.16397885170907, -86.78989085054961 36.14950714829094))"
lyft,109,2019-07-27 15:00:02,"POLYGON ((-86.78989085054961 36.14950714829094, -86.7719671494504 36.14950714829094, -86.7719671494504 36.16397885170907, -86.78989085054961 36.16397885170907, -86.78989085054961 36.14950714829094))"
spin,146,2019-07-27 15:00:02,"POLYGON ((-86.78989085054961 36.14950714829094, -86.7719671494504 36.14950714829094, -86.7719671494504 36.16397885170907, -86.78989085054961 36.16397885170907, -86.78989085054961 36.14950714829094))"
uber,97,2019-07-27 15:00:02,"POLYGON ((-86.78989085054961 36.14950714829094, -86.7719671494504 36.14950714829094, -86.7719671494504 36.16397885170907, -86.78989085054961 36.16397885170907, -86.78989085054961 36.14950714829094))"
bird,322,2019-07-27 17:00:02,"POLYGON ((-86.79076230286447 36.15346414829094, -86.77283769713554 36.15346414829094, -86.77283769713554 36.16793585170906, -86.79076230286447 36.16793585170906, -86.79076230286447 36.15346414829094))"
lime,84,2019-07-27 17:00:02,"POLYGON ((-86.79076230286447 36.15346414829094, -86.77283769713554 36.15346414829094, -86.77283769713554 36.16793585170906, -86.79076230286447 36.16793585170906, -86.79076230286447 36.15346414829094))"
lyft,98,2019-07-27 17:00:02,"POLYGON ((-86.79076230286447 36.15346414829094, -86.77283769713554 36.15346414829094, -86.77283769713554 36.16793585170906, -86.79076230286447 36.16793585170906, -86.79076230286447 36.15346414829094))"
spin,137,2019-07-27 17:00:02,"POLYGON ((-86.79076230286447 36.15346414829094, -86.77283769713554 36.15346414829094, -86.77283769713554 36.16793585170906, -86.79076230286447 36.16793585170906, -86.79076230286447 36.15346414829094))"
uber,83,2019-07-27 17:00:02,"POLYGON ((-86.79076230286447 36.15346414829094, -86.77283769713554 36.15346414829094, -86.77283769713554 36.16793585170906, -86.79076230286447 36.16793585170906, -86.79076230286447 36.15346414829094))"
bird,318,2019-07-27 17:00:02,"POLYGON ((-86.78976613425668 36.15467922039334, -86.77184125070853 36.15467922039334, -86.77184125070853 36.16915092381147, -86.78976613425668 36.16915092381147, -86.78976613425668 36.15467922039334))"
lime,85,2019-07-27 17:00:02,"POLYGON ((-86.78976613425668 36.15467922039334, -86.77184125070853 36.15467922039334, -86.77184125070853 36.16915092381147, -86.78976613425668 36.16915092381147, -86.78976613425668 36.15467922039334))"
lyft,100,2019-07-27 17:00:02,"POLYGON ((-86.78976613425668 36.15467922039334, -86.77184125070853 36.15467922039334, -86.77184125070853 36.16915092381147, -86.78976613425668 36.16915092381147, -86.78976613425668 36.15467922039334))"
spin,136,2019-07-27 17:00:02,"POLYGON ((-86.78976613425668 36.15467922039334, -86.77184125070853 36.15467922039334, -86.77184125070853 36.16915092381147, -86.78976613425668 36.16915092381147, -86.78976613425668 36.15467922039334))"
uber,80,2019-07-27 17:00:02,"POLYGON ((-86.78976613425668 36.15467922039334, -86.77184125070853 36.15467922039334, -86.77184125070853 36.16915092381147, -86.78976613425668 36.16915092381147, -86.78976613425668 36.15467922039334))"
bird,337,2019-07-27 17:00:02,"POLYGON ((-86.78545624673467 36.15297314829094, -86.76753175326533 36.15297314829094, -86.76753175326533 36.16744485170907, -86.78545624673467 36.16744485170907, -86.78545624673467 36.15297314829094))"
